source,name,num_qubits,num_active_qubits,num_gates,num_1q_gates,num_2q_gates,pct_2q_gates,num_3q_plus_gates,pct_3q_plus_gates,num_mq_gates,pct_mq_gates,depth,gate_density,ig_aspl,ig_std_adj_mat,ig_diameter,ig_max_betweenness,ig_avg_degree,ig_max_degree,ig_std_degree,ig_avg_strength,ig_max_strength,ig_std_strength,ig_max_cliques_num,ig_max_cliques_size,ig_transitivity,ig_avg_clustering_coef,ig_vertex_connectivity,ig_edge_connectivity,ig_avg_coreness,ig_min_coreness,ig_max_coreness,ig_std_coreness,ig_max_pagerank,ig_min_pagerank,ig_std_pagerank,ig_normalized_hhi_pagerank,gdg_critical_path_length,gdg_log_num_critical_paths,gdg_log_total_paths,gdg_mean_path_length,gdg_std_path_length,gdg_percentage_gates_in_critical_path,op_qubit_volume,density_score,idling_score,commutativity_score,overhead_num_qubits,overhead_num_active_qubits,overhead_mapped_2q_gates,overhead_mapped_gates,overhead_mapped_depth,overhead_mapped_vol,file_path,requested_qubits,filter_gates,basis_gates,optimization_level
mqt,bmw_quark_cardinality,10,10,121,67,54,0.4462809917355372,0,0.0,54,0.4462809917355372,43,0.2813953488372093,3.6666666666666665,2.4,9,0.5555555555555556,1.8,2,0.4,10.8,12,2.4,9,2,0.0,0.0,1,1,1.0,1,1,0.0,0.116199417382188,0.0643840091674046,0.0182762630069734,0.0037113532166673,43,5.147494476813454,15.003580783906749,33.898772961255155,3.5837241857486792,0.3553719008264462,175,0.3410852713178294,0.5930232558139535,0.2256637168141592,144,10,54,121,43,175,,10,"('measure', 'reset', 'barrier', 'delay')","['x', 'y', 'z', 'rx', 'ry', 'rz', 'cx', 'cp', 'cz', 'ecr', 'h', 's', 'sdg', 't', 'tdg', 'u1', 'u2', 'u3', 'swap', 'iswap']",3
mqt,bmw_quark_cardinality,23,23,290,158,132,0.4551724137931034,0,0.0,132,0.4551724137931034,82,0.1537645811240721,8.0,1.6906280082803111,22,0.5238095238095238,1.9130434782608696,2,0.2817713347133851,11.478260869565217,12,1.6906280082803111,22,2,0.0,0.0,1,1,1.0,1,1,0.0,0.0503701439234927,0.0279296730108278,0.0051970333702774,0.000649447429345,82,6.911747300251674,25.750462518931567,66.05280539806925,4.549575088132721,0.2827586206896552,422,0.188470066518847,0.7762460233297985,0.2287234042553191,144,23,132,290,82,422,,23,"('measure', 'reset', 'barrier', 'delay')","['x', 'y', 'z', 'rx', 'ry', 'rz', 'cx', 'cp', 'cz', 'ecr', 'h', 's', 'sdg', 't', 'tdg', 'u1', 'u2', 'u3', 'swap', 'iswap']",3
mqt,bmw_quark_cardinality,37,37,472,256,216,0.4576271186440678,0,0.0,216,0.4576271186440678,124,0.1028770706190061,12.666666666666666,1.3567459889741764,36,0.5142857142857142,1.945945945945946,2,0.2261243314956961,11.675675675675675,12,1.3567459889741764,36,2,0.0,0.0,1,1,1.0,1,1,0.0,0.0313104375861153,0.017362067401796,0.0025469449829974,0.0002466834848289,124,7.884576510596324,36.42365043756912,100.9183571249764,5.092758857008996,0.2627118644067797,688,0.1263440860215053,0.8500435919790759,0.2295258620689655,144,37,216,472,124,688,,37,"('measure', 'reset', 'barrier', 'delay')","['x', 'y', 'z', 'rx', 'ry', 'rz', 'cx', 'cp', 'cz', 'ecr', 'h', 's', 'sdg', 't', 'tdg', 'u1', 'u2', 'u3', 'swap', 'iswap']",3
mqt,bmw_quark_cardinality,50,50,641,347,294,0.4586583463338533,0,0.0,294,0.4586583463338533,163,0.0786503067484662,17.0,1.1757550765359257,49,0.5102040816326531,1.96,2,0.1959591794226542,11.76,12,1.1757550765359257,49,2,0.0,0.0,1,1,1.0,1,1,0.0,0.0231720495520585,0.0128467926700636,0.0016216363355427,0.0001341685920791,163,8.495356496807062,46.044313023405536,133.35654008438777,5.475009857607263,0.2542901716068643,935,0.0966570677350694,0.8852760736196319,0.2298578199052132,144,50,294,641,163,935,,50,"('measure', 'reset', 'barrier', 'delay')","['x', 'y', 'z', 'rx', 'ry', 'rz', 'cx', 'cp', 'cz', 'ecr', 'h', 's', 'sdg', 't', 'tdg', 'u1', 'u2', 'u3', 'swap', 'iswap']",3
mqt,bmw_quark_cardinality,63,63,810,438,372,0.4592592592592592,0,0.0,372,0.4592592592592592,202,0.0636492220650636,21.33333333333333,1.051939144494025,62,0.5081967213114754,1.968253968253968,2,0.1753231907490041,11.80952380952381,12,1.0519391444940247,62,2,0.0,0.0,1,1,1.0,1,1,0.0,0.018387507288987,0.0101974466565301,0.0011461826429282,8.410020692935685e-05,202,8.962391701743002,55.52180437600647,165.8190354246658,5.805318535479487,0.2493827160493827,1182,0.0782497604599169,0.9071192833569072,0.2300498753117207,144,63,372,810,202,1182,,63,"('measure', 'reset', 'barrier', 'delay')","['x', 'y', 'z', 'rx', 'ry', 'rz', 'cx', 'cp', 'cz', 'ecr', 'h', 's', 'sdg', 't', 'tdg', 'u1', 'u2', 'u3', 'swap', 'iswap']",3
mqt,bmw_quark_cardinality,77,77,992,536,456,0.4596774193548387,0,0.0,456,0.4596774193548387,244,0.0527996593570364,26.0,0.9543466530324072,76,0.5066666666666666,1.974025974025974,2,0.1590577755054012,11.844155844155845,12,0.9543466530324072,76,2,0.0,0.0,1,1,1.0,1,1,0.0,0.0150486472547698,0.0083412590954629,0.0008487419175577,5.6197780182794167e-05,244,9.36700218198956,65.63021970736015,200.79228621887543,6.126971909475589,0.2459677419354838,1448,0.0649266609145815,0.9229295294869064,0.2301829268292683,144,77,456,992,244,1448,,77,"('measure', 'reset', 'barrier', 'delay')","['x', 'y', 'z', 'rx', 'ry', 'rz', 'cx', 'cp', 'cz', 'ecr', 'h', 's', 'sdg', 't', 'tdg', 'u1', 'u2', 'u3', 'swap', 'iswap']",3
mqt,bmw_quark_cardinality,90,90,1161,627,534,0.4599483204134367,0,0.0,534,0.4599483204134367,283,0.0455830388692579,30.33333333333333,0.8844332774281067,89,0.5056179775280899,1.9777777777777776,2,0.1474055462380177,11.866666666666667,12,0.8844332774281068,89,2,0.0,0.0,1,1,1.0,1,1,0.0,0.012875997487694,0.0071359596701307,0.0006717620455907,4.107011676134578e-05,283,9.681093720112468,74.95508637717491,233.2746701627252,6.4040427661346,0.243755383290267,1695,0.056060666216699,0.9334511189634864,0.2302688638334779,144,90,534,1161,283,1695,,90,"('measure', 'reset', 'barrier', 'delay')","['x', 'y', 'z', 'rx', 'ry', 'rz', 'cx', 'cp', 'cz', 'ecr', 'h', 's', 'sdg', 't', 'tdg', 'u1', 'u2', 'u3', 'swap', 'iswap']",3
mqt,bmw_quark_cardinality,103,103,1330,718,612,0.4601503759398496,0,0.0,612,0.4601503759398496,322,0.0401013085690164,34.666666666666664,0.827922547779722,102,0.504950495049505,1.980582524271845,2,0.1379870912966203,11.883495145631068,12,0.827922547779722,102,2,0.0,0.0,1,1,1.0,1,1,0.0,0.0112446914976989,0.0062384882506588,0.0005480780215853,3.124345484074401e-05,322,9.952468174757753,84.23728514940962,265.76138346818124,6.665496336433254,0.2421052631578947,1942,0.0493240774570697,0.9414460592172706,0.2303328290468986,144,103,612,1330,322,1942,,103,"('measure', 'reset', 'barrier', 'delay')","['x', 'y', 'z', 'rx', 'ry', 'rz', 'cx', 'cp', 'cz', 'ecr', 'h', 's', 'sdg', 't', 'tdg', 'u1', 'u2', 'u3', 'swap', 'iswap']",3
mqt,bmw_quark_cardinality,117,117,1512,816,696,0.4603174603174603,0,0.0,696,0.4603174603174603,364,0.0355029585798816,39.333333333333336,0.7777308147745179,116,0.5043478260869565,1.982905982905983,2,0.1296218024624196,11.897435897435898,12,0.7777308147745179,116,2,0.0,0.0,1,1,1.0,1,1,0.0,0.0098980090932858,0.0054927094947848,0.0004525958588839,2.417324124254301e-05,364,10.20861653859163,94.19742950605118,300.75030088667,6.933107037091004,0.2407407407407407,2208,0.0436718453959833,0.9481544096928712,0.2303856382978723,144,117,696,1512,364,2208,,117,"('measure', 'reset', 'barrier', 'delay')","['x', 'y', 'z', 'rx', 'ry', 'rz', 'cx', 'cp', 'cz', 'ecr', 'h', 's', 'sdg', 't', 'tdg', 'u1', 'u2', 'u3', 'swap', 'iswap']",3
mqt,bmw_quark_cardinality,130,130,1681,907,774,0.4604402141582391,0,0.0,774,0.4604402141582391,403,0.0320862760068715,43.66666666666666,0.7384615384615386,129,0.5038759689922481,1.984615384615385,2,0.123076923076923,11.907692307692308,12,0.7384615384615385,129,2,0.0,0.0,1,1,1.0,1,1,0.0,0.0089166879799064,0.0049391986473317,0.0003871689225526,1.9638032485129635e-05,403,10.420255485757748,103.41993963399624,333.2421034845664,7.170826262615756,0.2397382510410469,2455,0.0394714063131167,0.953139912196984,0.230424387328153,144,130,774,1681,403,2455,,130,"('measure', 'reset', 'barrier', 'delay')","['x', 'y', 'z', 'rx', 'ry', 'rz', 'cx', 'cp', 'cz', 'ecr', 'h', 's', 'sdg', 't', 'tdg', 'u1', 'u2', 'u3', 'swap', 'iswap']",3
